"Provider.State","DRG.Definition","Discharges","Total.Payments","Medicare.Payments","Covered.Charges","Total.Payments.quantile","Medicare.Payments.quantile","Covered.Charges.quantile"
"KY","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",713,21116.5991584853,18760.3614165498,67942.0527349229,10,10,9
"LA","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",460,20969.3410217391,18747.1089565217,99288.8007608696,10,10,10
"ME","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",135,24459.0755555556,21675.462962963,67969.7448148148,10,10,9
"MD","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",333,29111.1666366366,27594.4317717718,30944.1864864865,10,10,7
"MA","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",363,29743.6252892562,28149.8673278237,64966.9340495868,10,10,9
"MI","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",1167,23476.7874721508,21977.8689203085,68411.5174978578,10,10,9
"MN","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",539,24327.9203525046,21715.8509647495,76901.391187384,10,10,10
"MS","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",490,21045.0917142857,18741.8723061224,83061.5381632653,10,10,10
"MO","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",902,20231.0101995565,18660.6707871397,73240.6167184035,10,10,10
"MT","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",74,20629.3483783784,18244.3617567568,64471.4833783784,10,10,9
"NE","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",85,22393.6074117647,19683.2045882353,63340.0890588235,10,10,9
"NV","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",150,22932.5148,20770.4095333333,152732.443133333,10,10,10
"NH","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",79,25543.1103797468,23170.64,72236.8051898734,10,10,10
"NJ","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",820,25999.4988780488,23977.0927073171,130167.611536585,10,10,10
"NM","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",127,22670.7366929134,19314.6018110236,79670.0998425197,10,10,10
"NY","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",1632,29667.5001286765,27187.6821017157,73125.9703737745,10,10,10
"NC","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",941,23286.4948777896,21357.2165356004,82893.4711583422,10,10,10
"ND","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",134,20853.9125373134,19505.6376119403,63544.6807462687,10,10,9
"OH","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",1115,22245.8924663677,20050.8317847534,84205.2321255605,10,10,10
"OK","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",382,20785.4695549738,17968.5747905759,89824.6443455497,10,10,10
"OR","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",144,23757.3433333333,21274.3561111111,61183.8686111111,10,10,9
"PA","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",998,23373.0773647295,20545.5244589178,113660.792735471,10,10,10
"RI","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",76,24916.1026315789,22662.1705263158,115994.722631579,10,10,10
"SC","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",530,21939.5138113208,19372.5565660377,91049.6320188679,10,10,10
"SD","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",116,20433.4694827586,18963.5134482759,59819.013362069,10,10,9
"TN","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",1039,20808.2688739172,18071.1923965351,80496.6031953802,10,10,10
"TX","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",1999,21607.4215357679,19550.9542271136,107550.918364182,10,10,10
"UT","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",183,23872.1554098361,18722.4061202186,63071.3880874317,10,10,9
"VT","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",59,28758.32,27037.93,50859.52,10,10,9
"VA","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",570,22577.7343684211,19675.2596842105,88422.0875438596,10,10,10
"WA","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",414,23409.1786956522,21562.23852657,99462.0215700483,10,10,10
"WV","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",374,21136.4997058824,18852.4713101604,63238.751684492,10,10,9
"WI","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",425,22665.3428470588,20580.3741176471,72583.9958352941,10,10,10
"WY","246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS",28,35622.3185714286,23253.2814285714,88056.7114285714,10,10,10
"AL","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",2183,11231.7394777829,9857.8869628951,61972.5986807146,8,8,9
"AK","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",131,20250.4736641221,17595.9583206107,81855.4822900763,10,10,10
"AZ","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",2026,14309.5809427443,11564.4736673248,74754.5598766042,9,9,10
"AR","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",2342,11289.273881298,9556.86766011955,46597.338321947,8,8,8
"CA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",6636,16768.9584719711,14717.262545208,102085.710848403,9,9,10
"CO","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",924,13954.5809090909,10957.3901623377,76054.7647943723,9,8,10
"CT","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1163,17685.8100429923,14766.5867239897,55578.3779449699,10,9,9
"DE","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",451,15444.9882926829,12568.8496008869,51192.9078492239,9,9,9
"DC","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",307,16252.0066123779,14454.1891530945,64079.2486644951,9,9,9
"FL","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",8241,12671.1139849533,10513.158003883,77938.0725385269,9,8,10
"GA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",2949,13057.0232926416,10588.6327365209,53486.541692099,9,8,9
"HI","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",157,17415.5358598726,12731.59,50617.6660509554,10,9,9
"ID","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",319,13117.7384012539,10789.2962382445,46564.9293730408,9,8,8
"IL","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",4849,14833.9394803052,11481.3910909466,65705.3628150134,9,9,9
"IN","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",3220,13063.6675403727,10405.1238074534,52978.4372826087,9,8,9
"IA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1483,12272.9523870533,10310.426257586,47353.2596021578,8,8,8
"KS","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",946,12520.8612156448,10055.4154334038,56789.5590274841,9,8,9
"KY","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",3325,12591.5193473684,10823.4364451128,46588.6833142857,9,8,8
"LA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1603,13366.8245664379,10481.5185776669,69458.7712601372,9,8,9
"ME","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",484,15532.0785950413,11743.5744421488,47218.0535743802,9,9,8
"MD","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1690,15903.1185857988,14210.2622781065,16838.8026390533,9,9,3
"MA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1652,17741.5748728814,15609.7260472155,46216.9138680387,10,9,8
"MI","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",5420,14008.2584797048,12446.076695572,44975.136297048,9,9,8
"MN","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1863,14628.7412023618,12145.9733279656,48813.8840526033,9,9,8
"MS","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1417,12853.0074311927,10544.0252928723,60713.3502964009,9,8,9
"MO","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",3225,12305.7328930233,10381.4226511628,51374.3218852713,8,8,9
"MT","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",383,13541.2065013055,10493.7311227154,45385.7563707572,9,8,8
"NE","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",791,13581.1187484197,10908.6146270544,57833.1691529709,9,8,9
"NV","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",770,14009.4541168831,11009.6128571429,94849.7116233766,9,8,10
"NH","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",422,15624.953507109,12910.2545971564,53868.8263270142,9,9,9
"NJ","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",2599,15593.5547826087,13981.5105771451,90312.1300808003,9,9,10
"NM","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",429,14581.081025641,11095.7569230769,58118.5034032634,9,8,9
"NY","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",8353,18201.820281336,15416.3865677002,47695.8397102837,10,9,8
"NC","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",3787,13946.0347979931,11863.0202059678,58819.7688064431,9,9,9
"ND","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",486,13411.3772222222,10881.3737037037,43438.4709670782,9,8,8
"OH","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",5147,13354.8943093064,11208.661802992,53680.8323197979,9,9,9
"OK","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1466,13194.9762278308,10227.495095498,65408.8375579809,9,8,9
"OR","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",678,14007.3755014749,11651.4813864307,42820.9928466077,9,9,8
"PA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",4615,13721.9495254605,11222.9793434453,73766.1838244854,9,9,10
"RI","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",174,15885.7654022988,13830.1001724138,89855.7708045977,9,9,10
"SC","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",2085,13527.4251942446,10734.3634340528,70104.7923021583,9,8,9
"SD","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",483,31140.5363354037,11181.7259006211,40631.5835817805,10,9,8
"TN","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",3216,12981.5618563433,10140.2901399254,56956.0740609453,9,8,9
"TX","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",5949,13470.9336913767,10911.0838880484,75721.8267910573,9,8,10
"UT","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",548,13839.5727737226,10421.1776824818,43613.306770073,9,8,8
"VT","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",137,18614.59,15743.66,38523.78,10,10,8
"VA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",2147,14262.3075454122,10892.2371448533,62066.0461807173,9,8,9
"WA","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1706,15228.3905392732,11817.5682356389,67629.9811840563,9,9,9
"WV","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1098,12246.3287704918,10455.1844717669,41115.6483151184,8,8,8
"WI","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",1640,14028.3584512195,11583.0897439024,51319.0805304878,9,9,9
"WY","247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC",157,17302.13,14136.3515923567,54731.449044586,10,9,9
"AL","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",787,10124.4141423126,8864.63494282084,55660.2449428208,7,7,9
"AZ","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",375,12330.1408266667,10142.6689066667,64603.5040533333,8,8,9
"AR","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",901,10231.0518201998,8492.87368479467,48325.4474805771,8,7,8
"CA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1406,14972.5521763869,13058.4140967283,97513.533655761,9,9,10
"CO","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",268,11731.8208208955,9629.65936567164,59580.4426865672,8,8,9
"CT","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",518,15514.4502509653,13420.8745945946,49727.5283783784,9,9,9
"DE","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",133,13609.5329323308,11685.7556390977,48347.7545864662,9,9,8
"DC","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",147,14894.8744217687,14024.507414966,59295.792244898,9,9,9
"FL","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",2362,11133.1841024555,9525.25238357324,74146.0611600339,8,8,10
"GA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",955,11330.0305235602,9742.0597382199,46910.7336335079,8,8,8
"HI","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",18,17182.05,11061.72,49204.72,9,8,8
"ID","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",98,10991.1057142857,9554.72928571429,40538.4534693878,8,8,8
"IL","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1671,12927.3298204668,10443.0336804309,60265.0759066427,9,8,9
"IN","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1400,11154.1198642857,9365.92303571429,46593.3782857143,8,8,8
"IA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",303,10547.8054125413,9358.16877887789,41313.6325412541,8,8,8
"KS","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",401,11169.2296259352,9102.00481296758,60879.9435162095,8,8,9
"KY","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",797,10955.4112672522,9561.77613550816,41494.4401380176,8,8,8
"LA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",329,11313.4577203647,9486.00796352584,61482.3661094225,8,8,9
"ME","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",264,12604.6342424242,10586.6801136364,35399.0142424242,9,8,7
"MD","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",547,14939.4503107861,13566.9243510055,15841.8995246801,9,9,3
"MA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",928,16394.5504956897,14508.0573706897,46601.0401400862,9,9,8
"MI","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1581,12506.7635610373,11155.4673624288,39269.5424098672,9,9,8
"MN","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",524,12915.5810496183,10815.5546755725,44463.2942175572,9,8,8
"MS","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",496,10995.0570766129,9476.33538306452,51854.3575604839,8,8,9
"MO","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",904,11277.2888938053,9235.72924778761,50165.184369469,8,8,9
"MT","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",116,11109.5572413793,9579.78913793103,41132.8061206897,8,8,8
"NE","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",196,12917.4896428571,10468.3727040816,59283.6179081633,9,8,9
"NV","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",227,12731.6721585903,10316.2792070485,85629.6098237885,9,8,10
"NH","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",153,13115.4969934641,11999.9409803922,48066.5102614379,9,9,8
"NJ","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",967,13696.9840124095,12393.2657290589,82892.4384281282,9,9,10
"NM","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",122,12082.5549180328,9955.72557377049,51120.2823770492,8,8,9
"NY","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1893,16081.7451822504,14382.5206339144,47571.8302958267,9,9,8
"NC","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1282,12571.0202028081,10881.8413884555,51125.7177925117,9,8,9
"ND","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",49,11507.4889795918,10609.1187755102,38634.5253061225,8,8,8
"OH","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1420,11656.1634788732,9992.72416901409,50084.3914788732,8,8,9
"OK","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1000,11306.60428,9226.22483,56331.06389,8,8,9
"OR","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",181,13434.1404972376,11264.2428729282,42801.703038674,9,9,8
"PA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1630,12134.577392638,10256.9953190184,61780.7823435583,8,8,9
"RI","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",70,15331.0414285714,12399.1685714286,76399.8117142857,9,9,10
"SC","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",447,12031.7098210291,9940.80304250559,65262.0510067114,8,8,9
"SD","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",171,11758.9824561404,9835.93175438597,38875.3105263158,8,8,8
"TN","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",878,11253.9401822323,9436.0180523918,47631.2780068337,8,8,8
"TX","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",1554,11649.9365508365,9709.65632561133,68555.834047619,8,8,9
"UT","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",86,11441.8575581395,9827.05546511628,36934.0536046512,8,8,7
"VT","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",65,15842.43,14891.47,35789.2,9,9,7
"VA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",803,12355.7994645081,10101.9273723537,55802.4939227895,8,8,9
"WA","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",430,16805.1168604651,10813.7714418605,58580.932,9,8,9
"WV","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",252,10555.5002777778,9309.62428571428,39242.8671428571,8,8,8
"WI","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",523,13190.3589101338,10590.9733078394,46822.2763671128,9,8,8
"WY","249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC",19,15681.52,10801.94,49498.63,9,8,9
"AL","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",379,10623.7198944591,9602.20348284961,51449.6947757256,8,8,9
"AK","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",63,18597.3,15536.03,87011.14,10,9,10
"AZ","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",630,13060.9512222222,11077.1352222222,75092.6525396825,9,8,10
"AR","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",342,10279.9692690058,8434.36824561403,41215.7691812866,8,7,8
"CA","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",1981,16151.3781928319,14221.6068854114,102162.084997476,9,9,10
"CO","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",263,13435.756121673,11715.3803802281,82091.54,9,9,10
"CT","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",276,16827.7935869565,14371.7987681159,60695.2336231884,9,9,9
"DE","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",64,13960.4,13009.78,44443.23,9,9,8
"DC","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",267,14986.9434456929,14015.5490262172,57520.1149812734,9,9,9
"FL","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",2949,12053.9517293998,10169.2406646321,78105.6225771448,8,8,10
"GA","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",666,12843.3147447447,10586.3407057057,52475.4139189189,9,8,9
"HI","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",14,15805.64,13651.64,32224.78,9,9,7
"ID","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",29,11224.0975862069,9301.23620689655,32922.3082758621,8,8,7
"IL","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",1215,14244.2383950617,11369.111382716,62765.1354403292,9,9,9
"IN","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",697,11950.3486226686,10232.6386083214,54037.7856241033,8,8,9
"IA","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",165,12313.4730909091,10826.1117575758,46700.5119393939,8,8,8
"KS","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",346,11571.9667919075,10352.6903757225,57899.0350289017,8,8,9
"KY","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",631,11441.8229318542,10106.9327575277,44851.7248335975,8,8,8
"LA","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",262,12154.3359923664,10059.689351145,62007.1340839695,8,8,9
"ME","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",92,12531.104673913,11398.2989130435,37184.4002173913,9,9,7
"MD","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",458,21195.0188864629,19039.2219650655,22463.9031877729,10,10,5
"MA","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",733,17195.5749386085,15720.6296998636,62781.3506139154,10,10,9
"MI","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",1282,13656.5584867395,12060.8066926677,38344.6323634945,9,9,8
"MN","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",660,13261.856030303,11397.5214242424,57972.0371060606,9,9,9
"MS","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",232,11237.7877155172,9656.33935344828,44088.3396982759,8,8,8
"MO","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",620,11862.2900806452,10431.6584354839,57655.4322741935,8,8,9
"MT","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",11,12187.27,9564.45,37837,8,8,7
"NE","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",131,12170.3184732824,10562.1414503817,50605.6299236641,8,8,9
"NV","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",108,12680.2664814815,10981.3775,82760.7202777778,9,8,10
"NH","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",76,14469.7947368421,12871.1410526316,62041.1931578947,9,9,9
"NJ","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",858,14636.7286946387,13212.6796503497,84329.2860955711,9,9,10
"NM","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",63,12055.6798412698,9626.47412698413,63021.6017460317,8,8,9
"NY","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",2490,17373.6782730924,14776.5676506024,58101.9637630522,10,9,9
"NC","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",1026,14212.9275925926,11988.6226705653,58041.8427290448,9,9,9
"ND","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",48,11332.4141666667,10370.8308333333,36388.3925,8,8,7
"OH","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",1350,13366.5455925926,11406.2941185185,57512.5646148148,9,9,9
"OK","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",456,13008.8286622807,11223.3026096491,64892.8100219298,9,9,9
"OR","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",113,13641.4831858407,11718.3491150442,38956.1297345133,9,9,8
"PA","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",1636,13623.6271638142,11929.5867542787,89397.3076589242,9,9,10
"RI","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",33,14365.8418181818,13483.6627272727,61548.7509090909,9,9,9
"SC","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",447,13299.7166442953,11400.9372035794,70184.5905816555,9,9,9
"SD","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",108,22059.5338888889,10262.4603703704,37065.9018518519,10,8,7
"TN","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",768,12600.8183072917,10024.596015625,61528.47984375,9,8,9
"TX","251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC",1882,12229.2216471838,10424.2801275239,72879.9375664187,8,8,10
